Дата турнира: 2026-04-17T04:37:44.038Z
Оружия: 31

Рельсы vs Лодка -> boat | HP 0:27 | Пики P:1 Z:1
Рельсы vs Без оружия -> rail | HP 65:0 | Пики P:0 Z:0
Рельсы vs Удочка -> fishingRod | HP 0:82 | Пики P:1 Z:0
Рельсы vs Трезубец Лояльности -> rail | HP 7:0 | Пики P:1 Z:0
Рельсы vs Ведро воды -> waterBucket | HP 0:90 | Пики P:0 Z:2
Рельсы vs Ведро лавы -> lavaBucket | HP 0:73 | Пики P:0 Z:1
Рельсы vs Снежки -> snowball | HP 0:100 | Пики P:3 Z:3
Рельсы vs Огниво -> flintSteel | HP 0:34 | Пики P:0 Z:13
Рельсы vs Пузырёк опыта -> expBottle | HP 0:73 | Пики P:1 Z:0
Рельсы vs Тотем -> totem | HP 0:6 | Пики P:0 Z:1
Рельсы vs Вагонетка с воронкой -> hopperMinecart | HP 0:82 | Пики P:0 Z:0
Рельсы vs ТНТ -> tnt | HP 0:56 | Пики P:0 Z:0
Рельсы vs Слизневый поршень -> slimePiston | HP 0:39 | Пики P:0 Z:1
Рельсы vs Наблюдатель -> observer | HP 0:100 | Пики P:0 Z:1
Рельсы vs Улей -> beehive | HP 0:64 | Пики P:0 Z:3
Рельсы vs Нотный блок -> noteBlock | HP 0:79 | Пики P:0 Z:0
Рельсы vs Шалкеровый ящик -> rail | HP 73:0 | Пики P:0 Z:0
Рельсы vs Якорь возрождения -> respawnAnchor | HP 0:60 | Пики P:0 Z:8
Рельсы vs Жемчуг Края -> enderPearl | HP 0:38 | Пики P:1 Z:1
Рельсы vs Плачущий обсидиан -> cryingObsidian | HP 0:22 | Пики P:3 Z:0
Рельсы vs Огненный стержень -> blazeRod | HP 0:100 | Пики P:0 Z:0
Рельсы vs Гнилая плоть -> ничья | HP 0:0 | Пики P:0 Z:0 | Ошибки:1
  БАГ: АВАРИЯ: game.spawnMinion is not a function
Рельсы vs Светильник Джека -> jackOLantern | HP 0:81 | Пики P:0 Z:0
Рельсы vs Костная мука -> rail | HP 50:0 | Пики P:0 Z:0
Рельсы vs Книга с пером -> rail | HP 64:0 | Пики P:0 Z:2
Рельсы vs Элитры -> elytra | HP 0:100 | Пики P:0 Z:0
Рельсы vs Золотое яблоко -> goldenApple | HP 0:37 | Пики P:0 Z:0
Рельсы vs Невидимость -> rail | HP 21:0 | Пики P:0 Z:0
Рельсы vs Зелье гравитации -> gravityPotion | HP 0:98 | Пики P:0 Z:2
Рельсы vs Черепашье зелье -> turtlePotion | HP 0:100 | Пики P:0 Z:0
